Start Date,End Date,County,Region,State,Property Type,Median Sale Price,Median Sale Price MoM,Median List Price,Median List Price MoM,Median Price per Sqft,Median Price per Sqft MoM,Median List Price per Sqft,Median List Price per Sqft MoM,Homes Sold,Homes Sold MoM,Pending Sales,Pending Sales MoM,New Listings,New Listings MoM,Months of Supply,Months of Supply MoM,Median Days on Market,Median Days on Market MoM,Average Sale to List,Average Sale to List MoM,Sold Above List,Sold Above List MoM,Price Drops,Price Drops MoM,Off Market in Two Weeks,Off Market in Two Weeks MoM
2022-09-01,2022-09-30,Morris County,North,NJ,Condo,338000.0,2.42%,"$549,450.00",2.42%,291.93,-9.33%,$289.64,2.49%,9,-40.00%,14,-36.36%,9,-25.00%,3,90.00%,54,-1100.00%,101.59%,-0.13%,55.56%,-4.44%,37.93%,26.50%,14.29%,14.29%
2022-09-01,2022-09-30,Morris County,North,NJ,Multi-Family (2-4 Unit),630000.0,24.75%,"$549,450.00",2.42%,235.7,-3.87%,$289.64,2.49%,5,-37.50%,5,-28.57%,2,-77.78%,3,40.00%,17,-3000.00%,97.63%,-0.71%,40.00%,2.50%,11.76%,0.00%,0.00%,-28.57%
2022-09-01,2022-09-30,Morris County,North,NJ,Single Family Residential,575000.0,0.88%,"$549,450.00",2.42%,291.13,-0.01%,$289.64,2.49%,561,-21.21%,434,-22.64%,488,5.40%,1,30.00%,24,400.00%,102.37%,-0.96%,54.19%,-12.10%,19.57%,-0.23%,34.79%,5.92%
2022-09-01,2022-09-30,Morris County,North,NJ,Townhouse,410000.0,-20.77%,"$549,450.00",2.42%,314.63,13.66%,$289.64,2.49%,4,100.00%,12,9.09%,13,-35.00%,8,-920.00%,49,800.00%,102.07%,0.72%,75.00%,25.00%,28.57%,9.13%,25.00%,-20.45%
2022-10-01,2022-10-31,Morris County,North,NJ,All Residential,532500.0,-5.75%,"$499,000.00",-9.18%,284.74,-2.29%,$286.26,-1.17%,469,-18.86%,396,-14.84%,454,-11.33%,1,30.00%,27,300.00%,101.44%,-0.88%,54.16%,0.01%,24.00%,3.98%,35.86%,2.31%
2022-10-01,2022-10-31,Morris County,North,NJ,Condo,350000.0,3.55%,"$499,000.00",-9.18%,310.56,6.38%,$286.26,-1.17%,11,22.22%,12,-14.29%,13,44.44%,2,-80.00%,49,-500.00%,99.29%,-2.31%,45.45%,-10.10%,19.23%,-18.70%,16.67%,2.38%
2022-10-01,2022-10-31,Morris County,North,NJ,Multi-Family (2-4 Unit),460000.0,-26.98%,"$499,000.00",-9.18%,192.58,-18.29%,$286.26,-1.17%,7,40.00%,2,-60.00%,5,150.00%,2,-110.00%,52,3500.00%,99.44%,1.81%,42.86%,2.86%,25.00%,13.24%,0.00%,0.00%
2022-10-01,2022-10-31,Morris County,North,NJ,Single Family Residential,547450.0,-4.79%,"$499,000.00",-9.18%,284.48,-2.28%,$286.26,-1.17%,447,-20.32%,371,-14.52%,424,-13.11%,1,30.00%,26,200.00%,101.51%,-0.85%,54.59%,0.40%,24.38%,4.81%,37.20%,2.40%
2022-10-01,2022-10-31,Morris County,North,NJ,Townhouse,364000.0,-11.22%,"$499,000.00",-9.18%,268.32,-14.72%,$286.26,-1.17%,4,0.00%,11,-8.33%,12,-7.69%,8,-50.00%,79,3000.00%,102.26%,0.19%,50.00%,-25.00%,24.24%,-4.33%,18.18%,-6.82%
2022-11-01,2022-11-30,Morris County,North,NJ,All Residential,531250.0,-0.23%,"$520,000.00",4.21%,286.34,0.56%,$281.11,-1.80%,434,-7.46%,350,-11.62%,322,-29.07%,1,-20.00%,28,100.00%,100.38%,-1.05%,46.54%,-7.61%,20.24%,-3.76%,30.86%,-5.00%
2022-11-01,2022-11-30,Morris County,North,NJ,Condo,359000.0,2.57%,"$520,000.00",4.21%,332.52,7.07%,$281.11,-1.80%,11,0.00%,7,-41.67%,12,-7.69%,2,10.00%,46,-300.00%,101.57%,2.28%,63.64%,18.18%,18.52%,-0.71%,42.86%,26.19%
2022-11-01,2022-11-30,Morris County,North,NJ,Multi-Family (2-4 Unit),440000.0,-4.35%,"$520,000.00",4.21%,193.99,0.73%,$281.11,-1.80%,3,-57.14%,5,150.00%,4,-20.00%,4,170.00%,48,-400.00%,103.74%,4.31%,66.67%,23.81%,0.00%,0.00%,60.00%,60.00%
2022-11-01,2022-11-30,Morris County,North,NJ,Single Family Residential,540000.0,-1.36%,"$520,000.00",4.21%,286.34,0.65%,$281.11,-1.80%,418,-6.49%,329,-11.32%,298,-29.72%,1,-20.00%,26,0.00%,100.35%,-1.16%,46.17%,-8.41%,21.12%,-3.26%,31.00%,-6.19%
2022-11-01,2022-11-30,Morris County,North,NJ,Townhouse,392000.0,7.69%,"$520,000.00",4.21%,277.86,3.55%,$281.11,-1.80%,2,-50.00%,9,-18.18%,8,-33.33%,15,670.00%,127,4800.00%,94.59%,-7.67%,0.00%,-50.00%,20.00%,-4.24%,0.00%,-18.18%
2022-12-01,2022-12-31,Morris County,North,NJ,All Residential,503750.0,-5.18%,"$519,000.00",-0.19%,285.96,-0.13%,$278.09,-1.08%,421,-3.00%,291,-16.86%,201,-37.58%,1,-30.00%,27,-100.00%,100.86%,0.48%,48.46%,1.91%,12.89%,-7.35%,25.43%,-5.43%
2022-12-01,2022-12-31,Morris County,North,NJ,Condo,329000.0,-8.36%,"$519,000.00",-0.19%,361.12,8.60%,$278.09,-1.08%,7,-36.36%,8,14.29%,3,-75.00%,3,50.00%,56,1000.00%,101.55%,-0.02%,71.43%,7.79%,9.52%,-8.99%,0.00%,-42.86%
2022-12-01,2022-12-31,Morris County,North,NJ,Multi-Family (2-4 Unit),555000.0,26.14%,"$519,000.00",-0.19%,277.55,43.07%,$278.09,-1.08%,7,133.33%,1,-80.00%,5,25.00%,2,-190.00%,34,-1400.00%,96.20%,-7.54%,28.57%,-38.10%,0.00%,0.00%,0.00%,-60.00%
2022-12-01,2022-12-31,Morris County,North,NJ,Single Family Residential,510000.0,-5.56%,"$519,000.00",-0.19%,285.86,-0.17%,$278.09,-1.08%,404,-3.35%,275,-16.41%,192,-35.57%,1,-30.00%,26,0.00%,100.94%,0.58%,48.51%,2.34%,13.54%,-7.58%,26.55%,-4.46%
2022-12-01,2022-12-31,Morris County,North,NJ,Townhouse,490000.0,25.00%,"$519,000.00",-0.19%,290.73,4.63%,$278.09,-1.08%,3,50.00%,7,-22.22%,1,-87.50%,7,-800.00%,55,-7200.00%,100.43%,5.84%,33.33%,33.33%,28.57%,8.57%,14.29%,14.29%
2023-01-01,2023-01-31,Morris County,North,NJ,All Residential,575000.0,14.14%,"$540,000.00",4.05%,282.32,-1.27%,$307.21,10.47%,269,-36.10%,256,-12.03%,333,65.67%,2,70.00%,31,400.00%,100.23%,-0.63%,42.38%,-6.08%,15.72%,2.83%,36.33%,10.90%
2023-01-01,2023-01-31,Morris County,North,NJ,Condo,225450.0,-31.47%,"$540,000.00",4.05%,235.34,-34.83%,$307.21,10.47%,4,-42.86%,8,0.00%,7,133.33%,3,80.00%,63,700.00%,101.63%,0.08%,50.00%,-21.43%,26.67%,17.14%,25.00%,25.00%
2023-01-01,2023-01-31,Morris County,North,NJ,Multi-Family (2-4 Unit),325000.0,-41.44%,"$540,000.00",4.05%,,,$307.21,10.47%,2,-71.43%,4,300.00%,5,0.00%,8,590.00%,61,2700.00%,108.33%,12.13%,100.00%,71.43%,0.00%,0.00%,50.00%,50.00%
2023-01-01,2023-01-31,Morris County,North,NJ,Single Family Residential,577500.0,13.24%,"$540,000.00",4.05%,282.32,-1.24%,$307.21,10.47%,259,-35.89%,238,-13.45%,314,63.54%,2,70.00%,29,300.00%,100.16%,-0.78%,42.08%,-6.43%,16.12%,2.58%,37.39%,10.85%
2023-01-01,2023-01-31,Morris County,North,NJ,Townhouse,573000.0,16.94%,"$540,000.00",4.05%,294.31,1.23%,$307.21,10.47%,4,33.33%,6,-14.29%,7,600.00%,5,-200.00%,76,2100.00%,99.48%,-0.95%,25.00%,-8.33%,15.00%,-13.57%,0.00%,-14.29%
2023-02-01,2023-02-28,Morris County,North,NJ,All Residential,541250.0,-5.87%,"$539,900.00",-0.02%,281.33,-0.35%,$293.17,-4.57%,250,-7.06%,287,12.11%,371,11.41%,2,20.00%,37,600.00%,100.23%,0.00%,44.80%,2.42%,11.11%,-4.61%,49.83%,13.50%
2023-02-01,2023-02-28,Morris County,North,NJ,Condo,378500.0,67.89%,"$539,900.00",-0.02%,320.12,36.03%,$293.17,-4.57%,6,50.00%,7,-12.50%,16,128.57%,3,-10.00%,43,-2000.00%,97.94%,-3.69%,16.67%,-33.33%,13.64%,-13.03%,42.86%,17.86%
2023-02-01,2023-02-28,Morris County,North,NJ,Multi-Family (2-4 Unit),412450.0,26.91%,"$539,900.00",-0.02%,144.23,,$293.17,-4.57%,4,100.00%,3,-25.00%,5,0.00%,4,-400.00%,62,100.00%,100.60%,-7.73%,25.00%,-75.00%,12.50%,0.00%,33.33%,-16.67%
2023-02-01,2023-02-28,Morris County,North,NJ,Single Family Residential,559500.0,-3.12%,"$539,900.00",-0.02%,280.12,-0.78%,$293.17,-4.57%,240,-7.34%,271,13.87%,344,9.55%,2,10.00%,36,700.00%,100.28%,0.13%,45.83%,3.75%,10.78%,-5.33%,50.92%,13.53%
2023-03-01,2023-03-31,Morris County,North,NJ,All Residential,540000.0,-0.23%,"$582,500.00",7.89%,296.99,5.57%,$303.74,3.60%,379,51.60%,405,41.11%,515,38.81%,1,-70.00%,21,-1600.00%,101.94%,1.70%,53.30%,8.50%,11.30%,0.18%,50.86%,1.04%
2023-03-01,2023-03-31,Morris County,North,NJ,Condo,345000.0,-8.85%,"$582,500.00",7.89%,264.39,-17.41%,$303.74,3.60%,6,0.00%,9,28.57%,8,-50.00%,2,-140.00%,31,-1200.00%,103.57%,5.64%,66.67%,50.00%,14.29%,0.65%,11.11%,-31.75%
2023-03-01,2023-03-31,Morris County,North,NJ,Multi-Family (2-4 Unit),562250.0,36.32%,"$582,500.00",7.89%,279.3,93.65%,$303.74,3.60%,6,50.00%,8,166.67%,8,60.00%,2,-200.00%,19,-4300.00%,100.31%,-0.29%,50.00%,25.00%,16.67%,4.17%,62.50%,29.17%
2023-03-01,2023-03-31,Morris County,North,NJ,Single Family Residential,545000.0,-2.59%,"$582,500.00",7.89%,298.46,6.54%,$303.74,3.60%,364,51.67%,384,41.70%,493,43.31%,1,-60.00%,21,-1500.00%,101.93%,1.65%,53.02%,7.19%,10.61%,-0.17%,51.82%,0.90%
2023-03-01,2023-03-31,Morris County,North,NJ,Townhouse,430000.0,,"$582,500.00",,248.64,,$303.74,,3,,4,,6,,6,,27,,102.71%,,66.67%,,35.00%,0.00%,25.00%,
2023-04-01,2023-04-30,Morris County,North,NJ,All Residential,532500.0,-1.39%,"$589,000.00",1.12%,304.8,2.63%,$296.67,-2.33%,353,-6.86%,449,10.86%,550,6.80%,1,20.00%,18,-300.00%,103.38%,1.44%,63.74%,10.44%,11.27%,-0.03%,53.67%,2.81%
2023-04-01,2023-04-30,Morris County,North,NJ,Condo,382400.0,10.84%,"$589,000.00",1.12%,355.15,34.33%,$296.67,-2.33%,10,66.67%,10,11.11%,13,62.50%,1,-60.00%,51,2000.00%,101.02%,-2.55%,50.00%,-16.67%,17.65%,3.36%,0.00%,-11.11%
2023-04-01,2023-04-30,Morris County,North,NJ,Multi-Family (2-4 Unit),465000.0,-17.30%,"$589,000.00",1.12%,199.91,-28.42%,$296.67,-2.33%,7,16.67%,2,-75.00%,13,62.50%,2,60.00%,193,17400.00%,97.03%,-3.28%,28.57%,-21.43%,11.11%,-5.56%,50.00%,-12.50%
2023-04-01,2023-04-30,Morris County,North,NJ,Single Family Residential,540000.0,-0.92%,"$589,000.00",1.12%,304.27,1.95%,$296.67,-2.33%,335,-7.97%,434,13.02%,518,5.07%,1,30.00%,17,-400.00%,103.58%,1.65%,64.78%,11.75%,11.36%,0.74%,55.30%,3.48%
2023-04-01,2023-04-30,Morris County,North,NJ,Townhouse,410000.0,-4.65%,"$589,000.00",1.12%,,,$296.67,-2.33%,1,-66.67%,3,-25.00%,6,0.00%,23,1630.00%,10,-1700.00%,105.40%,2.69%,100.00%,33.33%,8.70%,-26.30%,0.00%,-25.00%
2023-05-01,2023-05-31,Morris County,North,NJ,All Residential,575000.0,7.98%,"$625,000.00",6.11%,310.08,1.73%,$304.62,2.68%,420,18.98%,531,18.26%,594,8.00%,1,-20.00%,16,-200.00%,104.44%,1.06%,69.05%,5.31%,12.09%,0.82%,52.92%,-0.76%
2023-05-01,2023-05-31,Morris County,North,NJ,Condo,352500.0,-7.82%,"$625,000.00",6.11%,355.0,-0.04%,$304.62,2.68%,8,-20.00%,10,0.00%,10,-23.08%,1,20.00%,37,-1400.00%,103.37%,2.34%,75.00%,25.00%,20.00%,2.35%,10.00%,10.00%
2023-05-01,2023-05-31,Morris County,North,NJ,Multi-Family (2-4 Unit),580000.0,24.73%,"$625,000.00",6.11%,235.9,18.00%,$304.62,2.68%,3,-57.14%,9,350.00%,8,-38.46%,5,310.00%,52,-14100.00%,100.65%,3.62%,66.67%,38.10%,5.88%,-5.23%,44.44%,-5.56%
2023-05-01,2023-05-31,Morris County,North,NJ,Single Family Residential,585000.0,8.33%,"$625,000.00",6.11%,309.88,1.85%,$304.62,2.68%,407,21.49%,507,16.82%,567,9.46%,1,-30.00%,16,-100.00%,104.52%,0.94%,69.29%,4.51%,12.27%,0.92%,54.44%,-0.86%
2023-05-01,2023-05-31,Morris County,North,NJ,Townhouse,608750.0,48.48%,"$625,000.00",6.11%,345.83,,$304.62,2.68%,2,100.00%,5,66.67%,9,50.00%,13,-950.00%,41,3100.00%,98.16%,-7.24%,0.00%,-100.00%,7.41%,-1.29%,0.00%,0.00%
2023-06-01,2023-06-30,Morris County,North,NJ,All Residential,628250.0,9.26%,"$599,999.00",-4.00%,313.94,1.24%,$313.24,2.83%,579,37.86%,490,-7.72%,547,-7.91%,1,-40.00%,16,0.00%,104.86%,0.43%,72.19%,3.15%,12.46%,0.37%,43.06%,-9.86%
2023-06-01,2023-06-30,Morris County,North,NJ,Condo,420000.0,19.15%,"$599,999.00",-4.00%,355.67,0.19%,$313.24,2.83%,7,-12.50%,8,-20.00%,11,10.00%,2,70.00%,35,-200.00%,103.79%,0.42%,71.43%,-3.57%,11.11%,-8.89%,25.00%,15.00%
2023-06-01,2023-06-30,Morris County,North,NJ,Multi-Family (2-4 Unit),620000.0,6.90%,"$599,999.00",-4.00%,326.76,38.51%,$313.24,2.83%,8,166.67%,12,33.33%,12,50.00%,1,-380.00%,53,100.00%,100.73%,0.08%,50.00%,-16.67%,6.67%,0.78%,41.67%,-2.78%
2023-06-01,2023-06-30,Morris County,North,NJ,Single Family Residential,630000.0,7.69%,"$599,999.00",-4.00%,311.46,0.51%,$313.24,2.83%,562,38.08%,466,-8.09%,515,-9.17%,1,-40.00%,16,0.00%,104.95%,0.44%,72.42%,3.13%,12.93%,0.65%,43.35%,-11.09%
2023-06-01,2023-06-30,Morris County,North,NJ,Townhouse,416000.0,-31.66%,"$599,999.00",-4.00%,322.5,-6.75%,$313.24,2.83%,2,0.00%,4,-20.00%,9,0.00%,15,150.00%,38,-300.00%,102.08%,3.92%,100.00%,100.00%,6.67%,-0.74%,50.00%,50.00%
2023-07-01,2023-07-31,Morris County,North,NJ,All Residential,627500.0,-0.12%,"$596,450.00",-0.59%,327.78,4.41%,$304.39,-2.82%,482,-16.75%,408,-16.73%,456,-16.64%,1,20.00%,17,100.00%,105.11%,0.25%,71.58%,-0.62%,10.67%,-1.79%,39.22%,-3.85%
2023-07-01,2023-07-31,Morris County,North,NJ,Condo,352000.0,-16.19%,"$596,450.00",-0.59%,379.24,6.63%,$304.39,-2.82%,9,28.57%,10,25.00%,7,-36.36%,1,-100.00%,45,1000.00%,101.69%,-2.10%,77.78%,6.35%,0.00%,0.00%,0.00%,-25.00%
2023-07-01,2023-07-31,Morris County,North,NJ,Multi-Family (2-4 Unit),660000.0,6.45%,"$596,450.00",-0.59%,347.97,6.49%,$304.39,-2.82%,7,-12.50%,3,-75.00%,8,-33.33%,2,80.00%,21,-3200.00%,97.69%,-3.04%,42.86%,-7.14%,10.53%,3.86%,0.00%,-41.67%
2023-07-01,2023-07-31,Morris County,North,NJ,Single Family Residential,630000.0,0.00%,"$596,450.00",-0.59%,326.41,4.80%,$304.39,-2.82%,464,-17.44%,386,-17.17%,429,-16.70%,1,20.00%,16,0.00%,105.31%,0.36%,71.98%,-0.44%,11.54%,-1.39%,41.19%,-2.16%
2023-07-01,2023-07-31,Morris County,North,NJ,Townhouse,570000.0,37.02%,"$596,450.00",-0.59%,337.47,4.64%,$304.39,-2.82%,2,0.00%,9,125.00%,12,33.33%,13,-150.00%,71,3300.00%,101.04%,-1.04%,50.00%,-50.00%,0.00%,0.00%,11.11%,-38.89%
2023-08-01,2023-08-31,Morris County,North,NJ,All Residential,632500.0,0.80%,"$569,000.00",-4.60%,321.07,-2.05%,$301.60,-0.92%,530,9.96%,447,9.56%,445,-2.41%,1,-20.00%,18,100.00%,105.03%,-0.09%,69.62%,-1.95%,16.53%,5.86%,39.60%,0.38%
2023-08-01,2023-08-31,Morris County,North,NJ,Condo,259000.0,-26.42%,"$569,000.00",-4.60%,324.86,-14.34%,$301.60,-0.92%,2,-77.78%,11,10.00%,12,71.43%,7,540.00%,60,1500.00%,108.58%,6.89%,50.00%,-27.78%,21.43%,0.00%,9.09%,9.09%
2023-08-01,2023-08-31,Morris County,North,NJ,Multi-Family (2-4 Unit),575000.0,-12.88%,"$569,000.00",-4.60%,248.72,-28.52%,$301.60,-0.92%,11,57.14%,10,233.33%,12,50.00%,1,-120.00%,25,400.00%,103.41%,5.72%,81.82%,38.96%,6.25%,-4.28%,40.00%,40.00%
2023-08-01,2023-08-31,Morris County,North,NJ,Single Family Residential,636050.0,0.96%,"$569,000.00",-4.60%,323.21,-0.98%,$301.60,-0.92%,514,10.78%,420,8.81%,407,-5.13%,1,-20.00%,18,200.00%,105.01%,-0.30%,69.26%,-2.72%,16.67%,5.13%,40.48%,-0.72%
2023-08-01,2023-08-31,Morris County,North,NJ,Townhouse,361000.0,-36.67%,"$569,000.00",-4.60%,369.79,9.58%,$301.60,-0.92%,3,50.00%,6,-33.33%,14,16.67%,7,-580.00%,54,-1700.00%,110.49%,9.45%,100.00%,50.00%,17.39%,0.00%,33.33%,22.22%
2023-09-01,2023-09-30,Morris County,North,NJ,All Residential,600000.0,-5.14%,"$599,450.00",5.35%,319.2,-0.58%,$312.43,3.59%,430,-18.87%,419,-6.26%,490,10.11%,1,30.00%,21,300.00%,104.06%,-0.96%,69.53%,-0.09%,14.15%,-2.38%,39.38%,-0.22%
2023-09-01,2023-09-30,Morris County,North,NJ,Condo,360000.0,39.00%,"$599,450.00",5.35%,351.83,8.30%,$312.43,3.59%,9,350.00%,13,18.18%,14,16.67%,1,-540.00%,45,-1500.00%,100.29%,-8.29%,44.44%,-5.56%,28.57%,7.14%,23.08%,13.99%
2023-09-01,2023-09-30,Morris County,North,NJ,Multi-Family (2-4 Unit),485000.0,-15.65%,"$599,450.00",5.35%,273.75,10.06%,$312.43,3.59%,9,-18.18%,10,0.00%,13,8.33%,2,60.00%,30,500.00%,100.37%,-3.03%,66.67%,-15.15%,5.26%,-0.99%,30.00%,-10.00%
2023-09-01,2023-09-30,Morris County,North,NJ,Single Family Residential,605500.0,-4.80%,"$599,450.00",5.35%,319.88,-1.03%,$312.43,3.59%,409,-20.43%,386,-8.10%,450,10.57%,1,30.00%,21,300.00%,104.25%,-0.76%,70.42%,1.15%,14.56%,-2.11%,41.19%,0.72%
2023-09-01,2023-09-30,Morris County,North,NJ,Townhouse,379900.0,5.24%,"$599,450.00",5.35%,286.76,-22.45%,$312.43,3.59%,3,0.00%,10,66.67%,13,-7.14%,8,100.00%,62,800.00%,100.43%,-10.06%,33.33%,-66.67%,7.69%,-9.70%,0.00%,-33.33%
2023-10-01,2023-10-31,Morris County,North,NJ,All Residential,606750.5,1.13%,"$599,000.00",-0.08%,320.28,0.34%,$308.37,-1.30%,394,-8.37%,384,-8.35%,432,-11.84%,1,10.00%,20,-100.00%,104.28%,0.22%,68.53%,-1.01%,18.26%,4.10%,38.54%,-0.84%
2023-10-01,2023-10-31,Morris County,North,NJ,Condo,360000.0,0.00%,"$599,000.00",-0.08%,341.61,-2.91%,$308.37,-1.30%,11,22.22%,8,-38.46%,14,0.00%,1,10.00%,48,300.00%,104.89%,4.60%,90.91%,46.46%,15.79%,-12.78%,0.00%,-23.08%
2023-10-01,2023-10-31,Morris County,North,NJ,Multi-Family (2-4 Unit),485000.0,0.00%,"$599,000.00",-0.08%,278.15,1.61%,$308.37,-1.30%,10,11.11%,6,-40.00%,10,-23.08%,2,0.00%,15,-1500.00%,104.03%,3.66%,70.00%,3.33%,4.76%,-0.50%,33.33%,3.33%
2023-10-01,2023-10-31,Morris County,North,NJ,Single Family Residential,620000.0,2.39%,"$599,000.00",-0.08%,322.05,0.68%,$308.37,-1.30%,370,-9.54%,360,-6.74%,397,-11.78%,1,10.00%,20,-100.00%,104.28%,0.03%,68.11%,-2.31%,18.44%,3.89%,40.00%,-1.19%
2023-10-01,2023-10-31,Morris County,North,NJ,Townhouse,439000.0,15.56%,"$599,000.00",-0.08%,335.65,17.05%,$308.37,-1.30%,3,0.00%,10,0.00%,11,-15.38%,8,0.00%,42,-2000.00%,102.51%,2.08%,33.33%,0.00%,26.92%,19.23%,20.00%,20.00%
2023-11-01,2023-11-30,Morris County,North,NJ,All Residential,609250.0,0.41%,"$599,000.00",0.00%,323.96,1.15%,$310.62,0.73%,396,0.51%,336,-12.50%,324,-25.00%,1,-20.00%,21,100.00%,103.53%,-0.75%,61.62%,-6.91%,16.18%,-2.07%,39.29%,0.74%
2023-11-01,2023-11-30,Morris County,North,NJ,Condo,355000.0,-1.39%,"$599,000.00",0.00%,357.82,4.75%,$310.62,0.73%,6,-45.45%,6,-25.00%,6,-57.14%,3,130.00%,40,-800.00%,102.50%,-2.39%,66.67%,-24.24%,33.33%,17.54%,16.67%,16.67%
2023-11-01,2023-11-30,Morris County,North,NJ,Multi-Family (2-4 Unit),680000.0,40.21%,"$599,000.00",0.00%,350.7,26.08%,$310.62,0.73%,9,-10.00%,6,0.00%,9,-10.00%,2,50.00%,22,700.00%,101.55%,-2.48%,55.56%,-14.44%,0.00%,0.00%,0.00%,-33.33%
2023-11-01,2023-11-30,Morris County,North,NJ,Single Family Residential,615000.0,-0.81%,"$599,000.00",0.00%,323.96,0.59%,$310.62,0.73%,378,2.16%,317,-11.94%,298,-24.94%,1,-20.00%,20,0.00%,103.66%,-0.62%,62.17%,-5.94%,16.15%,-2.30%,41.01%,1.01%
2023-11-01,2023-11-30,Morris County,North,NJ,Townhouse,380000.0,-13.44%,"$599,000.00",0.00%,293.36,-12.60%,$310.62,0.73%,5,66.67%,7,-30.00%,11,0.00%,5,-350.00%,82,4000.00%,98.26%,-4.24%,40.00%,6.67%,26.92%,0.00%,14.29%,-5.71%
2023-12-01,2023-12-31,Morris County,North,NJ,All Residential,600000.0,-1.52%,"$549,949.50",-8.19%,315.65,-2.56%,$322.21,3.73%,371,-6.31%,244,-27.38%,168,-48.15%,1,-30.00%,21,0.00%,103.72%,0.20%,64.42%,2.80%,10.71%,-5.48%,31.15%,-8.14%
2023-12-01,2023-12-31,Morris County,North,NJ,Condo,350000.0,-1.41%,"$549,949.50",-8.19%,409.11,14.33%,$322.21,3.73%,5,-16.67%,6,0.00%,1,-83.33%,2,-40.00%,61,2100.00%,104.48%,1.98%,100.00%,33.33%,30.77%,-2.56%,0.00%,-16.67%
2023-12-01,2023-12-31,Morris County,North,NJ,Multi-Family (2-4 Unit),786000.0,15.59%,"$549,949.50",-8.19%,341.12,-2.73%,$322.21,3.73%,3,-66.67%,8,33.33%,4,-55.56%,6,370.00%,78,5600.00%,108.80%,7.25%,100.00%,44.44%,0.00%,0.00%,25.00%,25.00%
2023-12-01,2023-12-31,Morris County,North,NJ,Single Family Residential,605000.0,-1.63%,"$549,949.50",-8.19%,314.75,-2.84%,$322.21,3.73%,362,-4.23%,223,-29.65%,154,-48.32%,1,-30.00%,21,100.00%,103.68%,0.02%,63.54%,1.37%,11.02%,-5.13%,31.39%,-9.62%
2023-12-01,2023-12-31,Morris County,North,NJ,Townhouse,300000.0,-21.05%,"$549,949.50",-8.19%,255.1,-13.04%,$322.21,3.73%,1,-80.00%,7,0.00%,9,-18.18%,25,1980.00%,109,2700.00%,100.03%,1.77%,100.00%,60.00%,4.00%,-22.92%,57.14%,42.86%
2024-01-01,2024-01-31,Morris County,North,NJ,All Residential,595000.0,-0.83%,"$600,000.00",9.10%,315.64,-0.01%,$317.70,-1.40%,262,-29.38%,224,-8.20%,304,80.95%,1,60.00%,26,500.00%,102.09%,-1.63%,58.78%,-5.64%,11.95%,1.25%,39.73%,8.58%
2024-01-01,2024-01-31,Morris County,North,NJ,Condo,385000.0,10.00%,"$600,000.00",9.10%,337.08,-17.61%,$317.70,-1.40%,5,0.00%,3,-50.00%,9,800.00%,3,100.00%,58,-300.00%,100.62%,-3.86%,60.00%,-40.00%,0.00%,0.00%,0.00%,0.00%
2024-01-01,2024-01-31,Morris County,North,NJ,Multi-Family (2-4 Unit),600000.0,-23.66%,"$600,000.00",9.10%,330.46,-3.13%,$317.70,-1.40%,9,200.00%,7,-12.50%,8,100.00%,1,-440.00%,43,-3500.00%,97.79%,-11.01%,66.67%,-33.33%,5.88%,0.00%,0.00%,-25.00%
2024-01-01,2024-01-31,Morris County,North,NJ,Single Family Residential,599750.0,-0.87%,"$600,000.00",9.10%,315.29,0.17%,$317.70,-1.40%,246,-32.04%,205,-8.07%,278,80.52%,1,50.00%,25,400.00%,102.26%,-1.42%,58.13%,-5.41%,11.38%,0.36%,42.44%,11.05%
2024-01-01,2024-01-31,Morris County,North,NJ,Townhouse,474500.0,58.17%,"$600,000.00",9.10%,302.71,18.66%,$317.70,-1.40%,2,100.00%,9,28.57%,9,0.00%,11,-1400.00%,108,-100.00%,104.72%,4.69%,100.00%,0.00%,45.45%,41.45%,22.22%,-34.92%
2024-02-01,2024-02-29,Morris County,North,NJ,All Residential,600000.0,0.84%,"$600,000.00",0.00%,320.51,1.55%,$324.96,2.28%,236,-9.92%,298,33.04%,420,38.16%,2,40.00%,24,-200.00%,102.35%,0.26%,55.93%,-2.85%,8.23%,-3.72%,60.07%,20.33%
2024-02-01,2024-02-29,Morris County,North,NJ,Condo,381500.0,-0.91%,"$600,000.00",0.00%,354.75,5.24%,$324.96,2.28%,3,-40.00%,6,100.00%,14,55.56%,8,510.00%,36,-2200.00%,103.10%,2.48%,100.00%,40.00%,15.38%,0.00%,33.33%,33.33%
2024-02-01,2024-02-29,Morris County,North,NJ,Multi-Family (2-4 Unit),593125.0,-1.15%,"$600,000.00",0.00%,294.63,-10.84%,$324.96,2.28%,6,-33.33%,4,-42.86%,8,0.00%,2,90.00%,33,-1000.00%,103.29%,5.50%,50.00%,-16.67%,5.88%,0.00%,50.00%,50.00%
2024-02-01,2024-02-29,Morris County,North,NJ,Single Family Residential,600224.0,0.08%,"$600,000.00",0.00%,320.31,1.59%,$324.96,2.28%,226,-8.13%,288,40.49%,381,37.05%,1,40.00%,24,-100.00%,102.34%,0.08%,55.75%,-2.38%,8.59%,-2.78%,60.76%,18.32%
2024-02-01,2024-02-29,Morris County,North,NJ,Townhouse,949990.0,100.21%,"$600,000.00",0.00%,354.74,17.19%,$324.96,2.28%,1,-50.00%,0,,17,88.89%,36,2500.00%,75,-3300.00%,96.56%,-8.17%,0.00%,-100.00%,2.78%,-42.68%,,
